,sample,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
189,may_run4_4_80,0.262606941,0.311542189,0.23172298,0.259247417,0.272130706,0.179813785,0.167876477,0.074799936
190,may_run4_7_83,0.422730282,0.405344669,0.420352988,0.386650218,0.431996169,0.361208917,0.307480933,0.090957544
191,may_run4_8_84,0.402556079,0.388855963,0.403484982,0.38198765,0.408958385,0.335348543,0.29158757,0.07691043
192,may_run4_9_85,0.320590014,0.361655359,0.266696925,0.263949521,0.307732666,0.235953261,0.217766095,0.067627204
193,may_run5_1_87,0.238370107,0.251616775,0.228467682,0.282621601,0.210411505,0.22631968,0.21603942,0.059472376
194,may_run5_10_96,0.171089375,0.174450665,0.180353575,0.212934217,0.156377731,0.193674922,0.192520918,0.095151801
195,may_run5_2_88,0.229423275,0.247806761,0.222001291,0.282544489,0.204721508,0.217761788,0.207190513,0.012320914
196,may_run5_3_89,0.395853284,0.445286861,0.317782937,0.395731298,0.354145668,0.302379567,0.294264838,0.070978945
197,may_run5_4_90,0.383635973,0.43621159,0.310111519,0.391504024,0.344079532,0.288709313,0.290346141,0.055589025
198,may_run5_5_91,0.256473329,0.25866395,0.263085946,0.267858041,0.253181053,0.224142892,0.235397646,0.097717882
199,may_run5_6_92,0.249286938,0.245162951,0.253877619,0.263328529,0.243989366,0.20888499,0.235709526,0.087871058
200,may_run5_7_93,0.584148617,0.55512447,0.558230585,0.696006063,0.502411484,0.637391382,0.566070017,0.139451894
201,may_run5_8_94,0.563934202,0.537216862,0.541787567,0.684937929,0.492588083,0.610581498,0.542225923,0.116215703
202,may_run5_9_95,0.178526018,0.17897945,0.187258798,0.216537321,0.160302492,0.197096116,0.205603758,0.098159315
203,may_run6_1_97,0.636879385,0.611946353,0.519125384,0.545587003,0.47498171,0.739068853,0.627141075,0.207666154
204,may_run6_10_106,0.446165888,0.43708026,0.448909911,0.414296726,0.467175307,0.385472057,0.313389391,0.059182495
205,may_run6_2_98,0.603138518,0.588780768,0.500288822,0.551111874,0.460438615,0.717659653,0.593592474,0.146510025
206,may_run6_3_99,0.288577996,0.345991812,0.258533472,0.272177731,0.301639236,0.212391002,0.193525932,0.073752559
207,may_run6_4_100,0.279937643,0.334858533,0.24933286,0.270123853,0.294689861,0.195679821,0.193808454,0.079173876
208,may_run6_7_103,0.328976252,0.382304983,0.280805204,0.255641372,0.323827962,0.265654998,0.225328824,0.151659277
209,may_run6_8_104,0.318954816,0.364872664,0.270144298,0.259481769,0.32030695,0.248329033,0.226318988,0.125253982
210,may_run6_9_105,0.462455836,0.450723352,0.468245016,0.424233255,0.476304156,0.401379339,0.329282268,0.063985376
211,may_run7_1_107,0.175007953,0.173637601,0.176611051,0.171083227,0.180291304,0.160346054,0.144198462,0.13001009
212,may_run7_10_116,0.31170927,0.307591017,0.301308626,0.346193942,0.296234758,0.280985058,0.29990888,0.007753786
213,may_run7_2_108,0.166681378,0.164171056,0.167781089,0.168055951,0.173558354,0.140498498,0.148616498,0.086968956
214,may_run7_3_109,0.232775143,0.270937242,0.172082231,0.214877348,0.226444446,0.175351283,0.139369812,0.016235775
215,may_run7_4_110,0.22315883,0.264233823,0.166428949,0.202986156,0.215963267,0.168017261,0.161587297,0.006087469
216,may_run7_5_111,0.412952434,0.457224098,0.322764248,0.401006471,0.378436789,0.315054756,0.291682379,0.024319882
217,may_run7_6_112,0.389561683,0.438472953,0.309486611,0.394210823,0.358244703,0.299762065,0.264960717,0.008828038
218,may_run7_9_115,0.3262226,0.322901365,0.316296486,0.356574745,0.298283144,0.298283784,0.304747286,0.017477898
219,may_run8_1_117,0.288777485,0.26528486,0.283053773,0.281815152,0.264118712,0.288785319,0.248798485,0.014689207
220,may_run8_10_126,0.169463401,0.188491381,0.159450562,0.176878257,0.178892931,0.118693091,0.078142559,0.007787615
221,may_run8_2_118,0.279154775,0.267027525,0.275647454,0.269988451,0.259155533,0.290233958,0.325450224,0.037532396
222,may_run8_3_119,0.251115525,0.255315323,0.232672258,0.300513374,0.231048269,0.228918606,0.16079416,0
223,may_run8_4_120,0.238795728,0.248957162,0.225629698,0.295227313,0.221170119,0.205927989,0.161064766,0.004513421
224,may_run8_5_121,0.337196557,0.307524544,0.353157678,0.366096626,0.342314997,0.272551044,0.238881267,0.077357611
225,may_run8_6_122,0.327480641,0.306507584,0.346089589,0.351475136,0.336437331,0.271656106,0.243429226,0.115198646
226,may_run8_7_123,0.364882561,0.450926279,0.278084269,0.316736542,0.351965025,0.238770143,0.180227643,0.039082846
