Em,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
450.418,2.340779623,0.382499683,0.226719218,1.656646687,2.086195722,0.533880973,0.251823038,0.28716424
453.725,2.262751311,0.471169597,0.234103963,1.639028756,2.209281242,0.499207524,0.164371648,0.488335861
457.033,2.221305747,0.597934778,0.118110653,1.58196926,2.186830353,0.384574957,0.290663865,0.114713799
460.342,2.127634309,0.67772248,0.132909334,1.577944936,2.271716757,0.362235749,0.145209141,0.30106824
463.652,2.069059952,0.822266363,0.001450329,1.476399663,2.197491391,0.335344051,0.204765142,0.331644138
466.964,1.943482251,0.911223,0.048641934,1.477222424,2.242717531,0.304597361,0.119063525,0.244961164
470.276,1.842048,1.049093099,2.05E-18,1.381029094,2.163354018,0.235587567,0.23737318,0.221178693
473.59,1.734466768,1.170550865,0,1.316779371,2.131404747,0.200036875,0.296113109,0.049048412
476.904,1.628733443,1.263547175,0,1.301071998,2.103458709,0.215942647,0.100514646,0.381767977
480.22,1.514269452,1.366124759,0,1.208650236,2.033126366,0.192087414,0.232704696,0.356759025
483.536,1.418936666,1.4764862,0,1.2399558,1.9938949,0.176670958,0.143993139,0.11992956
486.853,1.30894354,1.599692495,0,1.197918672,1.896769469,0.14354217,0.094012953,0.421593305
490.172,1.204257844,1.716838811,0,1.140409333,1.800024572,0.094132179,0.184473334,0.082796941
493.491,1.120970622,1.744477953,0,1.101671368,1.749836996,0.073243639,0.233377242,0.028217684
496.811,1.015043812,1.850214269,4.71E-19,1.067743096,1.642459606,0.060368044,0.223253127,0
500.132,0.920253404,1.905152749,0.026690406,0.992485399,1.584713927,0.101589638,0.093882762,0.331382194
503.454,0.829272081,1.937662809,0,0.962589363,1.430773441,0.040585532,0.193738245,0.081112858
506.777,0.748138901,1.940186187,0,0.919486861,1.357669691,0.052177267,0.131353769,0.208201522
510.101,0.666154127,1.946225763,0,0.877388033,1.25532687,0.060195046,0.131648218,0.153598391
513.425,0.601702523,1.958988891,0.002888409,0.825474745,1.188055053,0.080025068,0.107714982,0.175307707
516.751,0.546986704,1.984959618,0,0.798222186,1.101844961,0.071122459,0.089758935,0.142079875
520.077,0.492660386,2.028142702,0,0.692271757,1.02845464,0.124877902,0.098666805,0.0183319
523.403,0.434730443,2.043581157,0.01024937,0.637089329,0.963885903,0.152886305,0.089990065,0.011347374
526.731,0.381521844,1.996807658,1.73E-18,0.723910457,0.861824187,0.051925814,0.06290658,0
530.059,0.34207809,1.90151193,6.09E-18,0.758217752,0.828191063,0,0.109626987,0.025301378
533.388,0.300051464,1.83386595,1.80E-17,0.813334856,0.789409357,1.31E-17,0.025012197,0.132535545
536.717,0.257075962,1.789825996,0.027753524,0.768965836,0.775753567,0,0.076195357,0.233221938
540.048,0.214846404,1.800866206,0.03992241,0.763611767,0.713861716,0,0.042909275,0.23569319
543.378,0.195044149,1.787815531,0.022397157,0.67526751,0.623306554,0,0.086903967,0.178557361
546.71,0.152708229,1.779912126,0.050897943,0.666125043,0.596616554,0,0.059950578,0.214939895
550.042,0.147436992,1.718480987,0.012223812,0.646766299,0.545011866,0,0.082844095,0.178338722
553.374,0.093875283,1.677356558,0.075384208,0.570454637,0.510513926,0,0.126501608,0.119863619
556.707,0.086179458,1.628612839,0.020739399,0.545257271,0.416167614,0,0.156162228,0.008960305
560.041,0.060483174,1.565749936,0.038226515,0.509386775,0.379919473,0,0.156080431,0.114860194
563.375,0.064108951,1.494109377,0.003279949,0.452186963,0.336602365,0.062189998,0.104112216,0.158963504
566.709,0.042673598,1.481355678,0,0.434596925,0.267881123,0.053157422,0.100751148,0.167139809
570.044,0.018249833,1.441692582,0.037359359,0.407023376,0.273536734,0.036180006,0.154259843,0.067287953
573.38,0.024443226,1.384641552,0,0.393715111,0.230376441,0.063191007,0.099281122,0.089843061
576.716,0.010011314,1.344700438,1.03E-18,0.349465688,0.208371932,0.070634047,0.133773251,0.11589086
580.052,4.05E-19,1.274166789,1.58E-18,0.325655691,0.174031564,0.0902879,0.155217987,3.36E-18
583.389,0,1.180916687,7.74E-18,0.283449058,0.136464974,0.143758661,0.035156882,1.63E-17
586.726,0,1.103380876,0,0.306811371,0.15540102,0.132601489,7.23E-19,2.69E-19
590.063,0,1.037184182,0,0.28558903,0.140148674,0.117429124,1.06E-18,2.71E-19
593.4,1.62E-18,0.988856991,0.00557806,0.280848843,0.153728708,0.037711581,0.074563805,0
596.738,0,0.955632117,1.28E-19,0.218766106,0.133018958,0.05519023,0.131467808,0.144478227
