aqualog_run,aqualog_sample,campaign,site,replicate,process_replicate,sample_code,NPOC,BDOC
10,2,oct,Arlanzon,2,C,oct_run10_2,1.400,1.202
1,11,oct,Bernesga,1,A,oct_run1_11,0.867,0.619
1,12,oct,Bernesga,2,A,oct_run1_12,0.867,0.619
6,3,oct,Bernesga,1,B,oct_run6_3,0.867,0.619
6,4,oct,Bernesga,2,B,oct_run6_4,0.867,0.619
8,1,oct,Bernesga,1,C,oct_run8_1,0.867,0.619
8,2,oct,Bernesga,2,C,oct_run8_2,0.867,0.619
1,3,oct,Carrion,1,A,oct_run1_3,0.453,0.411
1,4,oct,Carrion,2,A,oct_run1_4,0.453,0.411
5,9,oct,Carrion,1,B,oct_run5_9,0.453,0.411
5,10,oct,Carrion,2,B,oct_run5_10,0.453,0.411
10,9,oct,Carrion,1,C,oct_run10_9,0.453,0.411
10,10,oct,Carrion,2,C,oct_run10_10,0.453,0.411
4,1,oct,Cea,1,A,oct_run4_1,1.647,1.139
4,2,oct,Cea,2,A,oct_run4_2,1.647,1.139
6,13,oct,Cea,1,B,oct_run6_13,1.647,1.139
6,14,oct,Cea,2,B,oct_run6_14,1.647,1.139
8,11,oct,Cea,1,C,oct_run8_11,1.647,1.139
8,12,oct,Cea,2,C,oct_run8_12,1.647,1.139
2,13,oct,Curueno,1,A,oct_run2_13,0.597,0.460
2,14,oct,Curueno,2,A,oct_run2_14,0.597,0.460
5,5,oct,Curueno,1,B,oct_run5_5,0.597,0.460
5,6,oct,Curueno,2,B,oct_run5_6,0.597,0.460
10,11,oct,Curueno,1,C,oct_run10_11,0.597,0.460
10,12,oct,Curueno,2,C,oct_run10_12,0.597,0.460
1,7,oct,Deva,1,A,oct_run1_7,1.043,0.745
1,8,oct,Deva,2,A,oct_run1_8,1.043,0.745
4,5,oct,Deva,1,B,oct_run4_5,1.043,0.745
4,6,oct,Deva,2,B,oct_run4_6,1.043,0.745
9,9,oct,Deva,1,C,oct_run9_9,1.043,0.745
9,10,oct,Deva,2,C,oct_run9_10,1.043,0.745
3,7,oct,Duero,1,A,oct_run3_7,4.017,3.436
3,8,oct,Duero,2,A,oct_run3_8,4.017,3.436
4,7,oct,Duero,1,B,oct_run4_7,4.017,3.436
4,8,oct,Duero,2,B,oct_run4_8,4.017,3.436
11,1,oct,Duero,1,C,oct_run11_1,4.017,3.436
11,2,oct,Duero,2,C,oct_run11_2,4.017,3.436
3,3,oct,Ebro,1,A,oct_run3_3,3.727,3.162
3,4,oct,Ebro,2,A,oct_run3_4,3.727,3.162
5,3,oct,Ebro,1,B,oct_run5_3,3.727,3.162
5,4,oct,Ebro,2,B,oct_run5_4,3.727,3.162
10,7,oct,Ebro,1,C,oct_run10_7,3.727,3.162
10,8,oct,Ebro,2,C,oct_run10_8,3.727,3.162
3,5,oct,Ega,1,A,oct_run3_5,1.807,1.301
3,6,oct,Ega,2,A,oct_run3_6,1.807,1.301
6,9,oct,Ega,1,B,oct_run6_9,1.807,1.301
6,10,oct,Ega,2,B,oct_run6_10,1.807,1.301
8,7,oct,Ega,1,C,oct_run8_7,1.807,1.301
8,8,oct,Ega,2,C,oct_run8_8,1.807,1.301
3,1,oct,Esla,1,A,oct_run3_1,1.173,0.928
3,2,oct,Esla,2,A,oct_run3_2,1.173,0.928
5,11,oct,Esla,1,B,oct_run5_11,1.173,0.928
5,12,oct,Esla,2,B,oct_run5_12,1.173,0.928
9,5,oct,Esla,1,C,oct_run9_5,1.173,0.928
9,6,oct,Esla,2,C,oct_run9_6,1.173,0.928
1,9,oct,Luna,1,A,oct_run1_9,1.270,0.983
1,10,oct,Luna,2,A,oct_run1_10,1.270,0.983
7,3,oct,Luna,1,B,oct_run7_3,1.270,0.983
7,4,oct,Luna,2,B,oct_run7_4,1.270,0.983
8,9,oct,Luna,1,C,oct_run8_9,1.270,0.983
8,10,oct,Luna,2,C,oct_run8_10,1.270,0.983
2,5,oct,Nalon,1,A,oct_run2_5,1.227,0.860
2,6,oct,Nalon,2,A,oct_run2_6,1.227,0.860
4,11,oct,Nalon,1,B,oct_run4_11,1.227,0.860
4,12,oct,Nalon,2,B,oct_run4_12,1.227,0.860
11,3,oct,Nalon,1,C,oct_run11_3,1.227,0.860
11,4,oct,Nalon,2,C,oct_run11_4,1.227,0.860
3,13,oct,Nansa,1,A,oct_run3_13,2.167,1.700
3,14,oct,Nansa,2,A,oct_run3_14,2.167,1.700
6,1,oct,Nansa,1,B,oct_run6_1,2.167,1.700
6,2,oct,Nansa,2,B,oct_run6_2,2.167,1.700
9,1,oct,Nansa,1,C,oct_run9_1,2.167,1.700
9,2,oct,Nansa,2,C,oct_run9_2,2.167,1.700
2,9,oct,Narcea,1,A,oct_run2_9,1.167,0.985
2,10,oct,Narcea,2,A,oct_run2_10,1.167,0.985
5,13,oct,Narcea,1,B,oct_run5_13,1.167,0.985
5,14,oct,Narcea,2,B,oct_run5_14,1.167,0.985
9,3,oct,Narcea,1,C,oct_run9_3,1.167,0.985
9,4,oct,Narcea,2,C,oct_run9_4,1.167,0.985
1,13,oct,Omana,1,A,oct_run1_13,0.913,0.734
1,14,oct,Omana,2,A,oct_run1_14,0.913,0.734
7,7,oct,Omana,1,B,oct_run7_7,0.913,0.734
7,8,oct,Omana,2,B,oct_run7_8,0.913,0.734
8,3,oct,Omana,1,C,oct_run8_3,0.913,0.734
8,4,oct,Omana,2,C,oct_run8_4,0.913,0.734
3,11,oct,Pisuerga,1,A,oct_run3_11,2.190,1.724
3,12,oct,Pisuerga,2,A,oct_run3_12,2.190,1.724
4,13,oct,Pisuerga,1,B,oct_run4_13,2.190,1.724
4,14,oct,Pisuerga,2,B,oct_run4_14,2.190,1.724
9,11,oct,Pisuerga,1,C,oct_run9_11,2.190,1.724
9,12,oct,Pisuerga,2,C,oct_run9_12,2.190,1.724
3,9,oct,Porma,1,A,oct_run3_9,1.237,1.020
3,10,oct,Porma,2,A,oct_run3_10,1.237,1.020
5,1,oct,Porma,1,B,oct_run5_1,1.237,1.020
5,2,oct,Porma,2,B,oct_run5_2,1.237,1.020
10,3,oct,Porma,1,C,oct_run10_3,1.237,1.020
10,4,oct,Porma,2,C,oct_run10_4,1.237,1.020
2,7,oct,Sella,1,A,oct_run2_7,0.827,0.663
2,8,oct,Sella,2,A,oct_run2_8,0.827,0.663
4,9,oct,Sella,1,B,oct_run4_9,0.827,0.663
4,10,oct,Sella,2,B,oct_run4_10,0.827,0.663
9,7,oct,Sella,1,C,oct_run9_7,0.827,0.663
9,8,oct,Sella,2,C,oct_run9_8,0.827,0.663
1,5,oct,Tiron,1,A,oct_run1_5,0.617,0.471
1,6,oct,Tiron,2,A,oct_run1_6,0.617,0.471
6,11,oct,Tiron,1,B,oct_run6_11,0.617,0.471
6,12,oct,Tiron,2,B,oct_run6_12,0.617,0.471
8,5,oct,Tiron,1,C,oct_run8_5,0.617,0.471
8,6,oct,Tiron,2,C,oct_run8_6,0.617,0.471
