"","groups.x","FI2","HI2","beta.alpha2","SUVA254_2","SR","E2toE3","C_humic","C_protein","DOC","percent_HMWS_C","percent_Humic_C","percent_LMWS_C","FI2_sd","HI2_sd","beta.alpha2_sd","SUVA254_2_sd","SR_sd","E2toE3_sd","C_humic_sd","C_protein_sd","DOC_sd","percent_HMWS_C_sd","percent_Humic_C_sd","percent_LMWS_C_sd"
"1","TempNat",1.19716891319064,0.860886697217673,0.659882895124141,2.93218335976135,0.892685037401154,5.7856075337655,0.687449922677967,0.312550077322033,1.02227291670833,0.0860345886336491,0.997413675766574,0.127959825974266,0.0422439301724084,0.06502860205993,0.0777748036512126,0.19839370565662,0.324681682854233,0.31255431102614,0.183035158303068,0.4025835043808,0.417382313903592,0.717084874803767,1.07896679382739,0.266445367717024
"2","TempAlt",1.18291013087724,0.859533851520803,0.660508242579681,2.74174762549891,0.891132832170086,6.43995124891708,0.686985782684975,0.313014217315025,1.5543439815,0.0611410127730977,1.00724941114385,0.133691588785047,0.0445076070759068,0.0361536694816893,0.103771076500587,0.234816441080016,0.24661823274607,0.160040773569258,0.0959177492887973,0.210514815057835,0.434011772088605,0.553077694122939,1.14868007487134,0.286916787542181
"3","MedNat",1.23034385759063,0.881348140654668,0.663589968957163,2.61040208283645,0.819281020176901,6.30565857902917,0.70931262574398,0.29068737425602,1.61711111116667,0.0693233523483808,0.791854246184663,0.134893433179724,0.0425463155096113,0.0383741103254349,0.0561822994082139,0.238666993118406,0.118440209545572,0.143072707675627,0.128305745254631,0.313081657906633,0.450940730058864,0.590672983885647,0.119296056213598,0.285462269544097
"4","MedAlt",1.22140281090195,0.837578355730535,0.696400283116075,2.39596342318678,0.967145474012398,7.10348594772907,0.639217845780557,0.360782154219443,2.7294277778,0.0917090606980845,0.761228545695119,0.135214626391097,0.0384777265021658,0.0597384840065454,0.0866574566955807,0.275421060306882,0.214797531868707,0.160845810516747,0.152911441151696,0.270921720670075,0.501350725457,0.722016129632297,0.0817049788125288,0.178714312771218
